Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Arsenal v Manchester City,First Half,0.00,Frank LAMPARD,Manchester City,-8.75,-5.01
Arsenal v Manchester City,First Half,0.10,Frank LAMPARD,Manchester City,-8.95,-4.68
Arsenal v Manchester City,First Half,0.20,Frank LAMPARD,Manchester City,-9.14,-4.35
Arsenal v Manchester City,First Half,0.30,Frank LAMPARD,Manchester City,-9.10,-4.55
Arsenal v Manchester City,First Half,0.40,Frank LAMPARD,Manchester City,-9.07,-4.74
Arsenal v Manchester City,First Half,0.50,Frank LAMPARD,Manchester City,-8.97,-4.96
Arsenal v Manchester City,First Half,0.60,Frank LAMPARD,Manchester City,-8.95,-4.99
Arsenal v Manchester City,First Half,0.70,Frank LAMPARD,Manchester City,-8.90,-5.05
Arsenal v Manchester City,First Half,0.80,Frank LAMPARD,Manchester City,-8.80,-5.13
Arsenal v Manchester City,First Half,0.90,Frank LAMPARD,Manchester City,-8.68,-5.19
Arsenal v Manchester City,First Half,1.00,Frank LAMPARD,Manchester City,-8.54,-5.24
Arsenal v Manchester City,First Half,1.10,Frank LAMPARD,Manchester City,-8.37,-5.27
Arsenal v Manchester City,First Half,1.20,Frank LAMPARD,Manchester City,-8.19,-5.29
Arsenal v Manchester City,First Half,1.30,Frank LAMPARD,Manchester City,-8.00,-5.32
Arsenal v Manchester City,First Half,1.40,Frank LAMPARD,Manchester City,-7.80,-5.33
Arsenal v Manchester City,First Half,1.50,Frank LAMPARD,Manchester City,-7.59,-5.35
Arsenal v Manchester City,First Half,1.60,Frank LAMPARD,Manchester City,-7.38,-5.36
Arsenal v Manchester City,First Half,1.70,Frank LAMPARD,Manchester City,-7.16,-5.37
Arsenal v Manchester City,First Half,1.80,Frank LAMPARD,Manchester City,-6.94,-5.38
Arsenal v Manchester City,First Half,1.90,Frank LAMPARD,Manchester City,-6.72,-5.38
Arsenal v Manchester City,First Half,2.00,Frank LAMPARD,Manchester City,-6.49,-5.39
Arsenal v Manchester City,First Half,2.10,Frank LAMPARD,Manchester City,-6.26,-5.39
Arsenal v Manchester City,First Half,2.20,Frank LAMPARD,Manchester City,-6.05,-5.41
Arsenal v Manchester City,First Half,2.30,Frank LAMPARD,Manchester City,-5.86,-5.45
Arsenal v Manchester City,First Half,2.40,Frank LAMPARD,Manchester City,-5.69,-5.51
Arsenal v Manchester City,First Half,2.50,Frank LAMPARD,Manchester City,-5.53,-5.59
Arsenal v Manchester City,First Half,2.60,Frank LAMPARD,Manchester City,-5.40,-5.69
Arsenal v Manchester City,First Half,2.70,Frank LAMPARD,Manchester City,-5.30,-5.82
Arsenal v Manchester City,First Half,2.80,Frank LAMPARD,Manchester City,-5.21,-5.96
Arsenal v Manchester City,First Half,2.90,Frank LAMPARD,Manchester City,-5.13,-6.11
Arsenal v Manchester City,First Half,3.00,Frank LAMPARD,Manchester City,-5.05,-6.27
Arsenal v Manchester City,First Half,3.10,Frank LAMPARD,Manchester City,-4.98,-6.43
Arsenal v Manchester City,First Half,3.20,Frank LAMPARD,Manchester City,-4.97,-6.64
Arsenal v Manchester City,First Half,3.30,Frank LAMPARD,Manchester City,-5.03,-6.88
Arsenal v Manchester City,First Half,3.40,Frank LAMPARD,Manchester City,-5.14,-7.16
Arsenal v Manchester City,First Half,3.50,Frank LAMPARD,Manchester City,-5.33,-7.49
Arsenal v Manchester City,First Half,3.60,Frank LAMPARD,Manchester City,-5.58,-7.84
Arsenal v Manchester City,First Half,3.70,Frank LAMPARD,Manchester City,-5.89,-8.19
Arsenal v Manchester City,First Half,3.80,Frank LAMPARD,Manchester City,-6.22,-8.53
Arsenal v Manchester City,First Half,3.90,Frank LAMPARD,Manchester City,-6.56,-8.85
Arsenal v Manchester City,First Half,4.00,Frank LAMPARD,Manchester City,-6.91,-9.13
Arsenal v Manchester City,First Half,4.10,Frank LAMPARD,Manchester City,-7.26,-9.38
Arsenal v Manchester City,First Half,4.20,Frank LAMPARD,Manchester City,-7.61,-9.61
Arsenal v Manchester City,First Half,4.30,Frank LAMPARD,Manchester City,-7.97,-9.84
Arsenal v Manchester City,First Half,4.40,Frank LAMPARD,Manchester City,-8.33,-10.05
Arsenal v Manchester City,First Half,4.50,Frank LAMPARD,Manchester City,-8.70,-10.26
Arsenal v Manchester City,First Half,4.60,Frank LAMPARD,Manchester City,-9.05,-10.46
Arsenal v Manchester City,First Half,4.70,Frank LAMPARD,Manchester City,-9.39,-10.64
Arsenal v Manchester City,First Half,4.80,Frank LAMPARD,Manchester City,-9.72,-10.83
Arsenal v Manchester City,First Half,4.90,Frank LAMPARD,Manchester City,-10.04,-11.00
Arsenal v Manchester City,First Half,5.00,Frank LAMPARD,Manchester City,-10.33,-11.17
Arsenal v Manchester City,First Half,5.10,Frank LAMPARD,Manchester City,-10.61,-11.33
Arsenal v Manchester City,First Half,5.20,Frank LAMPARD,Manchester City,-10.89,-11.48
Arsenal v Manchester City,First Half,5.30,Frank LAMPARD,Manchester City,-11.16,-11.64
Arsenal v Manchester City,First Half,5.40,Frank LAMPARD,Manchester City,-11.42,-11.79
Arsenal v Manchester City,First Half,5.50,Frank LAMPARD,Manchester City,-11.68,-11.94
Arsenal v Manchester City,First Half,5.60,Frank LAMPARD,Manchester City,-11.93,-12.09
Arsenal v Manchester City,First Half,5.70,Frank LAMPARD,Manchester City,-12.18,-12.23
Arsenal v Manchester City,First Half,5.80,Frank LAMPARD,Manchester City,-12.30,-12.33
Arsenal v Manchester City,First Half,5.90,Frank LAMPARD,Manchester City,-12.28,-12.38
Arsenal v Manchester City,First Half,6.00,Frank LAMPARD,Manchester City,-12.11,-12.37
Arsenal v Manchester City,First Half,6.10,Frank LAMPARD,Manchester City,-11.78,-12.30
Arsenal v Manchester City,First Half,6.20,Frank LAMPARD,Manchester City,-11.34,-12.17
Arsenal v Manchester City,First Half,6.30,Frank LAMPARD,Manchester City,-10.79,-11.98
Arsenal v Manchester City,First Half,6.40,Frank LAMPARD,Manchester City,-10.27,-11.77
Arsenal v Manchester City,First Half,6.50,Frank LAMPARD,Manchester City,-9.77,-11.55
Arsenal v Manchester City,First Half,6.60,Frank LAMPARD,Manchester City,-9.33,-11.32
Arsenal v Manchester City,First Half,6.70,Frank LAMPARD,Manchester City,-8.95,-11.09
Arsenal v Manchester City,First Half,6.80,Frank LAMPARD,Manchester City,-8.59,-10.85
Arsenal v Manchester City,First Half,6.90,Frank LAMPARD,Manchester City,-8.23,-10.60
Arsenal v Manchester City,First Half,7.00,Frank LAMPARD,Manchester City,-7.90,-10.36
Arsenal v Manchester City,First Half,7.10,Frank LAMPARD,Manchester City,-7.59,-10.12
Arsenal v Manchester City,First Half,7.20,Frank LAMPARD,Manchester City,-7.29,-9.89
Arsenal v Manchester City,First Half,7.30,Frank LAMPARD,Manchester City,-7.00,-9.66
Arsenal v Manchester City,First Half,7.40,Frank LAMPARD,Manchester City,-6.73,-9.44
Arsenal v Manchester City,First Half,7.50,Frank LAMPARD,Manchester City,-6.46,-9.23
Arsenal v Manchester City,First Half,7.60,Frank LAMPARD,Manchester City,-6.20,-9.03
Arsenal v Manchester City,First Half,7.70,Frank LAMPARD,Manchester City,-5.95,-8.82
Arsenal v Manchester City,First Half,7.80,Frank LAMPARD,Manchester City,-5.70,-8.62
Arsenal v Manchester City,First Half,7.90,Frank LAMPARD,Manchester City,-5.46,-8.42
Arsenal v Manchester City,First Half,8.00,Frank LAMPARD,Manchester City,-5.20,-8.25
Arsenal v Manchester City,First Half,8.10,Frank LAMPARD,Manchester City,-4.93,-8.12
Arsenal v Manchester City,First Half,8.20,Frank LAMPARD,Manchester City,-4.65,-8.02
Arsenal v Manchester City,First Half,8.30,Frank LAMPARD,Manchester City,-4.35,-7.96
Arsenal v Manchester City,First Half,8.40,Frank LAMPARD,Manchester City,-4.04,-7.94
Arsenal v Manchester City,First Half,8.50,Frank LAMPARD,Manchester City,-3.70,-7.97
Arsenal v Manchester City,First Half,8.60,Frank LAMPARD,Manchester City,-3.36,-8.01
Arsenal v Manchester City,First Half,8.70,Frank LAMPARD,Manchester City,-3.01,-8.07
Arsenal v Manchester City,First Half,8.80,Frank LAMPARD,Manchester City,-2.67,-8.16
Arsenal v Manchester City,First Half,8.90,Frank LAMPARD,Manchester City,-2.35,-8.29
Arsenal v Manchester City,First Half,9.00,Frank LAMPARD,Manchester City,-2.05,-8.44
Arsenal v Manchester City,First Half,9.10,Frank LAMPARD,Manchester City,-1.77,-8.63
Arsenal v Manchester City,First Half,9.20,Frank LAMPARD,Manchester City,-1.52,-8.84
Arsenal v Manchester City,First Half,9.30,Frank LAMPARD,Manchester City,-1.29,-9.09
Arsenal v Manchester City,First Half,9.40,Frank LAMPARD,Manchester City,-1.08,-9.35
Arsenal v Manchester City,First Half,9.50,Frank LAMPARD,Manchester City,-0.88,-9.62
Arsenal v Manchester City,First Half,9.60,Frank LAMPARD,Manchester City,-0.68,-9.91
Arsenal v Manchester City,First Half,9.70,Frank LAMPARD,Manchester City,-0.49,-10.20
Arsenal v Manchester City,First Half,9.80,Frank LAMPARD,Manchester City,-0.31,-10.50
Arsenal v Manchester City,First Half,9.90,Frank LAMPARD,Manchester City,-0.13,-10.80
Arsenal v Manchester City,First Half,10.00,Frank LAMPARD,Manchester City,-0.08,-11.24
Arsenal v Manchester City,First Half,10.10,Frank LAMPARD,Manchester City,-0.07,-11.68
Arsenal v Manchester City,First Half,10.20,Frank LAMPARD,Manchester City,-0.08,-12.14
Arsenal v Manchester City,First Half,10.30,Frank LAMPARD,Manchester City,-0.12,-12.62
Arsenal v Manchester City,First Half,10.40,Frank LAMPARD,Manchester City,-0.20,-13.25
Arsenal v Manchester City,First Half,10.50,Frank LAMPARD,Manchester City,-0.33,-13.89
Arsenal v Manchester City,First Half,10.60,Frank LAMPARD,Manchester City,-0.38,-14.41
Arsenal v Manchester City,First Half,10.70,Frank LAMPARD,Manchester City,-0.44,-14.94
Arsenal v Manchester City,First Half,10.80,Frank LAMPARD,Manchester City,-0.54,-15.45
Arsenal v Manchester City,First Half,10.90,Frank LAMPARD,Manchester City,-0.64,-15.98
Arsenal v Manchester City,First Half,11.00,Frank LAMPARD,Manchester City,-0.73,-16.37
Arsenal v Manchester City,First Half,11.10,Frank LAMPARD,Manchester City,-0.79,-16.77
Arsenal v Manchester City,First Half,11.20,Frank LAMPARD,Manchester City,-0.84,-17.26
Arsenal v Manchester City,First Half,11.30,Frank LAMPARD,Manchester City,-0.86,-17.75
Arsenal v Manchester City,First Half,11.40,Frank LAMPARD,Manchester City,-0.86,-18.24
Arsenal v Manchester City,First Half,11.50,Frank LAMPARD,Manchester City,-0.83,-18.74
Arsenal v Manchester City,First Half,11.60,Frank LAMPARD,Manchester City,-0.80,-19.23
Arsenal v Manchester City,First Half,11.70,Frank LAMPARD,Manchester City,-0.76,-19.68
Arsenal v Manchester City,First Half,11.80,Frank LAMPARD,Manchester City,-0.72,-20.02
Arsenal v Manchester City,First Half,11.90,Frank LAMPARD,Manchester City,-0.65,-20.34
Arsenal v Manchester City,First Half,12.00,Frank LAMPARD,Manchester City,-0.54,-20.65
Arsenal v Manchester City,First Half,12.10,Frank LAMPARD,Manchester City,-0.42,-20.90
Arsenal v Manchester City,First Half,12.20,Frank LAMPARD,Manchester City,-0.33,-21.10
Arsenal v Manchester City,First Half,12.30,Frank LAMPARD,Manchester City,-0.28,-21.26
Arsenal v Manchester City,First Half,12.40,Frank LAMPARD,Manchester City,-0.26,-21.39
Arsenal v Manchester City,First Half,12.50,Frank LAMPARD,Manchester City,-0.30,-21.45
Arsenal v Manchester City,First Half,12.60,Frank LAMPARD,Manchester City,-0.43,-21.45
Arsenal v Manchester City,First Half,12.70,Frank LAMPARD,Manchester City,-0.64,-21.39
Arsenal v Manchester City,First Half,12.80,Frank LAMPARD,Manchester City,-0.87,-21.30
Arsenal v Manchester City,First Half,12.90,Frank LAMPARD,Manchester City,-1.14,-21.20
Arsenal v Manchester City,First Half,13.00,Frank LAMPARD,Manchester City,-1.41,-21.05
Arsenal v Manchester City,First Half,13.10,Frank LAMPARD,Manchester City,-1.70,-20.87
Arsenal v Manchester City,First Half,13.20,Frank LAMPARD,Manchester City,-2.00,-20.67
Arsenal v Manchester City,First Half,13.30,Frank LAMPARD,Manchester City,-2.29,-20.43
Arsenal v Manchester City,First Half,13.40,Frank LAMPARD,Manchester City,-2.57,-20.16
Arsenal v Manchester City,First Half,13.50,Frank LAMPARD,Manchester City,-2.85,-19.86
Arsenal v Manchester City,First Half,13.60,Frank LAMPARD,Manchester City,-3.13,-19.55
Arsenal v Manchester City,First Half,13.70,Frank LAMPARD,Manchester City,-3.40,-19.23
Arsenal v Manchester City,First Half,13.80,Frank LAMPARD,Manchester City,-3.66,-18.90
Arsenal v Manchester City,First Half,13.90,Frank LAMPARD,Manchester City,-3.89,-18.58
Arsenal v Manchester City,First Half,14.00,Frank LAMPARD,Manchester City,-4.10,-18.26
Arsenal v Manchester City,First Half,14.10,Frank LAMPARD,Manchester City,-4.29,-17.95
Arsenal v Manchester City,First Half,14.20,Frank LAMPARD,Manchester City,-4.45,-17.64
Arsenal v Manchester City,First Half,14.30,Frank LAMPARD,Manchester City,-4.59,-17.35
Arsenal v Manchester City,First Half,14.40,Frank LAMPARD,Manchester City,-4.71,-17.06
Arsenal v Manchester City,First Half,14.50,Frank LAMPARD,Manchester City,-4.82,-16.77
Arsenal v Manchester City,First Half,14.60,Frank LAMPARD,Manchester City,-4.92,-16.48
Arsenal v Manchester City,First Half,14.70,Frank LAMPARD,Manchester City,-5.02,-16.20
Arsenal v Manchester City,First Half,14.80,Frank LAMPARD,Manchester City,-5.08,-15.90
Arsenal v Manchester City,First Half,14.90,Frank LAMPARD,Manchester City,-5.13,-15.58
Arsenal v Manchester City,First Half,15.00,Frank LAMPARD,Manchester City,-5.14,-15.24
Arsenal v Manchester City,First Half,15.10,Frank LAMPARD,Manchester City,-5.13,-14.88
Arsenal v Manchester City,First Half,15.20,Frank LAMPARD,Manchester City,-5.08,-14.50
Arsenal v Manchester City,First Half,15.30,Frank LAMPARD,Manchester City,-5.01,-14.08
Arsenal v Manchester City,First Half,15.40,Frank LAMPARD,Manchester City,-4.92,-13.66
Arsenal v Manchester City,First Half,15.50,Frank LAMPARD,Manchester City,-4.81,-13.22
Arsenal v Manchester City,First Half,15.60,Frank LAMPARD,Manchester City,-4.70,-12.78
Arsenal v Manchester City,First Half,15.70,Frank LAMPARD,Manchester City,-4.58,-12.33
Arsenal v Manchester City,First Half,15.80,Frank LAMPARD,Manchester City,-4.46,-11.89
Arsenal v Manchester City,First Half,15.90,Frank LAMPARD,Manchester City,-4.34,-11.46
Arsenal v Manchester City,First Half,16.00,Frank LAMPARD,Manchester City,-4.22,-11.05
Arsenal v Manchester City,First Half,16.10,Frank LAMPARD,Manchester City,-4.11,-10.65
Arsenal v Manchester City,First Half,16.20,Frank LAMPARD,Manchester City,-4.01,-10.27
Arsenal v Manchester City,First Half,16.30,Frank LAMPARD,Manchester City,-3.91,-9.91
Arsenal v Manchester City,First Half,16.40,Frank LAMPARD,Manchester City,-3.82,-9.56
Arsenal v Manchester City,First Half,16.50,Frank LAMPARD,Manchester City,-3.73,-9.22
Arsenal v Manchester City,First Half,16.60,Frank LAMPARD,Manchester City,-3.64,-8.88
Arsenal v Manchester City,First Half,16.70,Frank LAMPARD,Manchester City,-3.55,-8.55
Arsenal v Manchester City,First Half,16.80,Frank LAMPARD,Manchester City,-3.47,-8.22
Arsenal v Manchester City,First Half,16.90,Frank LAMPARD,Manchester City,-3.38,-7.90
Arsenal v Manchester City,First Half,17.00,Frank LAMPARD,Manchester City,-3.31,-7.58
Arsenal v Manchester City,First Half,17.10,Frank LAMPARD,Manchester City,-3.25,-7.26
Arsenal v Manchester City,First Half,17.20,Frank LAMPARD,Manchester City,-3.20,-6.94
Arsenal v Manchester City,First Half,17.30,Frank LAMPARD,Manchester City,-3.17,-6.62
Arsenal v Manchester City,First Half,17.40,Frank LAMPARD,Manchester City,-3.15,-6.30
Arsenal v Manchester City,First Half,17.50,Frank LAMPARD,Manchester City,-3.14,-5.98
Arsenal v Manchester City,First Half,17.60,Frank LAMPARD,Manchester City,-3.14,-5.66
Arsenal v Manchester City,First Half,17.70,Frank LAMPARD,Manchester City,-3.15,-5.34
Arsenal v Manchester City,First Half,17.80,Frank LAMPARD,Manchester City,-3.16,-5.02
Arsenal v Manchester City,First Half,17.90,Frank LAMPARD,Manchester City,-3.18,-4.70
Arsenal v Manchester City,First Half,18.00,Frank LAMPARD,Manchester City,-3.20,-4.38
Arsenal v Manchester City,First Half,18.10,Frank LAMPARD,Manchester City,-3.22,-4.06
Arsenal v Manchester City,First Half,18.20,Frank LAMPARD,Manchester City,-3.25,-3.74
Arsenal v Manchester City,First Half,18.30,Frank LAMPARD,Manchester City,-3.28,-3.42
Arsenal v Manchester City,First Half,18.40,Frank LAMPARD,Manchester City,-3.30,-3.10
Arsenal v Manchester City,First Half,18.50,Frank LAMPARD,Manchester City,-3.33,-2.78
Arsenal v Manchester City,First Half,18.60,Frank LAMPARD,Manchester City,-3.36,-2.47
Arsenal v Manchester City,First Half,18.70,Frank LAMPARD,Manchester City,-3.39,-2.15
Arsenal v Manchester City,First Half,18.80,Frank LAMPARD,Manchester City,-3.42,-1.83
Arsenal v Manchester City,First Half,18.90,Frank LAMPARD,Manchester City,-3.45,-1.51
Arsenal v Manchester City,First Half,19.00,Frank LAMPARD,Manchester City,-3.48,-1.19
Arsenal v Manchester City,First Half,19.10,Frank LAMPARD,Manchester City,-3.51,-0.87
Arsenal v Manchester City,First Half,19.20,Frank LAMPARD,Manchester City,-3.57,-0.56
Arsenal v Manchester City,First Half,19.30,Frank LAMPARD,Manchester City,-3.64,-0.27
Arsenal v Manchester City,First Half,19.40,Frank LAMPARD,Manchester City,-3.75,0.00
Arsenal v Manchester City,First Half,19.50,Frank LAMPARD,Manchester City,-3.88,0.25
Arsenal v Manchester City,First Half,19.60,Frank LAMPARD,Manchester City,-4.04,0.49
Arsenal v Manchester City,First Half,19.70,Frank LAMPARD,Manchester City,-4.24,0.70
Arsenal v Manchester City,First Half,19.80,Frank LAMPARD,Manchester City,-4.45,0.90
Arsenal v Manchester City,First Half,19.90,Frank LAMPARD,Manchester City,-4.67,1.10
Arsenal v Manchester City,First Half,20.00,Frank LAMPARD,Manchester City,-4.91,1.28
Arsenal v Manchester City,First Half,20.10,Frank LAMPARD,Manchester City,-5.15,1.47
Arsenal v Manchester City,First Half,20.20,Frank LAMPARD,Manchester City,-5.40,1.64
Arsenal v Manchester City,First Half,20.30,Frank LAMPARD,Manchester City,-5.65,1.82
Arsenal v Manchester City,First Half,20.40,Frank LAMPARD,Manchester City,-5.92,1.96
Arsenal v Manchester City,First Half,20.50,Frank LAMPARD,Manchester City,-6.19,2.08
Arsenal v Manchester City,First Half,20.60,Frank LAMPARD,Manchester City,-6.48,2.17
Arsenal v Manchester City,First Half,20.70,Frank LAMPARD,Manchester City,-6.78,2.22
Arsenal v Manchester City,First Half,20.80,Frank LAMPARD,Manchester City,-7.09,2.24
Arsenal v Manchester City,First Half,20.90,Frank LAMPARD,Manchester City,-7.41,2.22
Arsenal v Manchester City,First Half,21.00,Frank LAMPARD,Manchester City,-7.73,2.18
Arsenal v Manchester City,First Half,21.10,Frank LAMPARD,Manchester City,-8.06,2.13
Arsenal v Manchester City,First Half,21.20,Frank LAMPARD,Manchester City,-8.37,2.08
Arsenal v Manchester City,First Half,21.30,Frank LAMPARD,Manchester City,-8.66,2.02
Arsenal v Manchester City,First Half,21.40,Frank LAMPARD,Manchester City,-8.93,1.98
Arsenal v Manchester City,First Half,21.50,Frank LAMPARD,Manchester City,-9.18,1.94
Arsenal v Manchester City,First Half,21.60,Frank LAMPARD,Manchester City,-9.39,1.91
Arsenal v Manchester City,First Half,21.70,Frank LAMPARD,Manchester City,-9.58,1.89
Arsenal v Manchester City,First Half,21.80,Frank LAMPARD,Manchester City,-9.75,1.88
Arsenal v Manchester City,First Half,21.90,Frank LAMPARD,Manchester City,-9.91,1.87
Arsenal v Manchester City,First Half,22.00,Frank LAMPARD,Manchester City,-10.06,1.86
Arsenal v Manchester City,First Half,22.10,Frank LAMPARD,Manchester City,-10.21,1.86
Arsenal v Manchester City,First Half,22.20,Frank LAMPARD,Manchester City,-10.40,1.80
Arsenal v Manchester City,First Half,22.30,Frank LAMPARD,Manchester City,-10.65,1.68
Arsenal v Manchester City,First Half,22.40,Frank LAMPARD,Manchester City,-10.96,1.49
Arsenal v Manchester City,First Half,22.50,Frank LAMPARD,Manchester City,-11.35,1.23
Arsenal v Manchester City,First Half,22.60,Frank LAMPARD,Manchester City,-11.74,0.95
Arsenal v Manchester City,First Half,22.70,Frank LAMPARD,Manchester City,-12.14,0.63
Arsenal v Manchester City,First Half,22.80,Frank LAMPARD,Manchester City,-12.48,0.34
Arsenal v Manchester City,First Half,22.90,Frank LAMPARD,Manchester City,-12.76,0.08
Arsenal v Manchester City,First Half,23.00,Frank LAMPARD,Manchester City,-12.96,-0.13
Arsenal v Manchester City,First Half,23.10,Frank LAMPARD,Manchester City,-13.08,-0.29
Arsenal v Manchester City,First Half,23.20,Frank LAMPARD,Manchester City,-13.17,-0.43
Arsenal v Manchester City,First Half,23.30,Frank LAMPARD,Manchester City,-13.23,-0.56
Arsenal v Manchester City,First Half,23.40,Frank LAMPARD,Manchester City,-13.27,-0.68
Arsenal v Manchester City,First Half,23.50,Frank LAMPARD,Manchester City,-13.28,-0.78
Arsenal v Manchester City,First Half,23.60,Frank LAMPARD,Manchester City,-13.28,-0.87
Arsenal v Manchester City,First Half,23.70,Frank LAMPARD,Manchester City,-13.27,-0.95
Arsenal v Manchester City,First Half,23.80,Frank LAMPARD,Manchester City,-13.25,-1.03
Arsenal v Manchester City,First Half,23.90,Frank LAMPARD,Manchester City,-13.22,-1.11
Arsenal v Manchester City,First Half,24.00,Frank LAMPARD,Manchester City,-13.18,-1.18
Arsenal v Manchester City,First Half,24.10,Frank LAMPARD,Manchester City,-13.13,-1.24
Arsenal v Manchester City,First Half,24.20,Frank LAMPARD,Manchester City,-13.08,-1.30
Arsenal v Manchester City,First Half,24.30,Frank LAMPARD,Manchester City,-13.02,-1.36
Arsenal v Manchester City,First Half,24.40,Frank LAMPARD,Manchester City,-12.96,-1.41
Arsenal v Manchester City,First Half,24.50,Frank LAMPARD,Manchester City,-12.89,-1.46
Arsenal v Manchester City,First Half,24.60,Frank LAMPARD,Manchester City,-12.82,-1.51
Arsenal v Manchester City,First Half,24.70,Frank LAMPARD,Manchester City,-12.75,-1.55
Arsenal v Manchester City,First Half,24.80,Frank LAMPARD,Manchester City,-12.67,-1.60
Arsenal v Manchester City,First Half,24.90,Frank LAMPARD,Manchester City,-12.60,-1.64
Arsenal v Manchester City,First Half,25.00,Frank LAMPARD,Manchester City,-12.52,-1.68
Arsenal v Manchester City,First Half,25.10,Frank LAMPARD,Manchester City,-12.44,-1.72
Arsenal v Manchester City,First Half,25.20,Frank LAMPARD,Manchester City,-12.36,-1.79
Arsenal v Manchester City,First Half,25.30,Frank LAMPARD,Manchester City,-12.27,-1.89
Arsenal v Manchester City,First Half,25.40,Frank LAMPARD,Manchester City,-12.17,-2.03
Arsenal v Manchester City,First Half,25.50,Frank LAMPARD,Manchester City,-12.07,-2.20
Arsenal v Manchester City,First Half,25.60,Frank LAMPARD,Manchester City,-11.96,-2.39
Arsenal v Manchester City,First Half,25.70,Frank LAMPARD,Manchester City,-11.86,-2.58
Arsenal v Manchester City,First Half,25.80,Frank LAMPARD,Manchester City,-11.75,-2.77
Arsenal v Manchester City,First Half,25.90,Frank LAMPARD,Manchester City,-11.66,-2.93
Arsenal v Manchester City,First Half,26.00,Frank LAMPARD,Manchester City,-11.56,-3.06
Arsenal v Manchester City,First Half,26.10,Frank LAMPARD,Manchester City,-11.48,-3.17
Arsenal v Manchester City,First Half,26.20,Frank LAMPARD,Manchester City,-11.39,-3.27
Arsenal v Manchester City,First Half,26.30,Frank LAMPARD,Manchester City,-11.31,-3.35
Arsenal v Manchester City,First Half,26.40,Frank LAMPARD,Manchester City,-11.23,-3.43
Arsenal v Manchester City,First Half,26.50,Frank LAMPARD,Manchester City,-11.15,-3.51
Arsenal v Manchester City,First Half,26.60,Frank LAMPARD,Manchester City,-11.08,-3.57
Arsenal v Manchester City,First Half,26.70,Frank LAMPARD,Manchester City,-11.00,-3.64
Arsenal v Manchester City,First Half,26.80,Frank LAMPARD,Manchester City,-10.93,-3.70
Arsenal v Manchester City,First Half,26.90,Frank LAMPARD,Manchester City,-10.85,-3.75
Arsenal v Manchester City,First Half,27.00,Frank LAMPARD,Manchester City,-10.78,-3.81
Arsenal v Manchester City,First Half,27.10,Frank LAMPARD,Manchester City,-10.71,-3.87
Arsenal v Manchester City,First Half,27.20,Frank LAMPARD,Manchester City,-10.65,-3.93
Arsenal v Manchester City,First Half,27.30,Frank LAMPARD,Manchester City,-10.59,-3.99
Arsenal v Manchester City,First Half,27.40,Frank LAMPARD,Manchester City,-10.53,-4.05
Arsenal v Manchester City,First Half,27.50,Frank LAMPARD,Manchester City,-10.48,-4.11
Arsenal v Manchester City,First Half,27.60,Frank LAMPARD,Manchester City,-10.43,-4.18
Arsenal v Manchester City,First Half,27.70,Frank LAMPARD,Manchester City,-10.39,-4.27
Arsenal v Manchester City,First Half,27.80,Frank LAMPARD,Manchester City,-10.34,-4.36
Arsenal v Manchester City,First Half,27.90,Frank LAMPARD,Manchester City,-10.29,-4.47
Arsenal v Manchester City,First Half,28.00,Frank LAMPARD,Manchester City,-10.25,-4.60
Arsenal v Manchester City,First Half,28.10,Frank LAMPARD,Manchester City,-10.21,-4.74
Arsenal v Manchester City,First Half,28.20,Frank LAMPARD,Manchester City,-10.16,-4.88
Arsenal v Manchester City,First Half,28.30,Frank LAMPARD,Manchester City,-10.12,-5.03
Arsenal v Manchester City,First Half,28.40,Frank LAMPARD,Manchester City,-10.08,-5.19
Arsenal v Manchester City,First Half,28.50,Frank LAMPARD,Manchester City,-10.04,-5.35
Arsenal v Manchester City,First Half,28.60,Frank LAMPARD,Manchester City,-10.00,-5.52
Arsenal v Manchester City,First Half,28.70,Frank LAMPARD,Manchester City,-9.95,-5.68
Arsenal v Manchester City,First Half,28.80,Frank LAMPARD,Manchester City,-9.91,-5.85
Arsenal v Manchester City,First Half,28.90,Frank LAMPARD,Manchester City,-9.87,-6.02
Arsenal v Manchester City,First Half,29.00,Frank LAMPARD,Manchester City,-9.83,-6.19
Arsenal v Manchester City,First Half,29.10,Frank LAMPARD,Manchester City,-9.79,-6.36
Arsenal v Manchester City,First Half,29.20,Frank LAMPARD,Manchester City,-9.72,-6.67
Arsenal v Manchester City,First Half,29.30,Frank LAMPARD,Manchester City,-9.66,-7.03
Arsenal v Manchester City,First Half,29.40,Frank LAMPARD,Manchester City,-9.60,-7.42
Arsenal v Manchester City,First Half,29.50,Frank LAMPARD,Manchester City,-9.55,-7.87
Arsenal v Manchester City,First Half,29.60,Frank LAMPARD,Manchester City,-9.50,-8.37
Arsenal v Manchester City,First Half,29.70,Frank LAMPARD,Manchester City,-9.46,-8.93
Arsenal v Manchester City,First Half,29.80,Frank LAMPARD,Manchester City,-9.45,-9.40
Arsenal v Manchester City,First Half,29.90,Frank LAMPARD,Manchester City,-9.45,-9.88
Arsenal v Manchester City,First Half,30.00,Frank LAMPARD,Manchester City,-9.45,-10.37
Arsenal v Manchester City,First Half,30.10,Frank LAMPARD,Manchester City,-9.45,-10.87
Arsenal v Manchester City,First Half,30.20,Frank LAMPARD,Manchester City,-9.46,-11.36
Arsenal v Manchester City,First Half,30.30,Frank LAMPARD,Manchester City,-9.48,-11.85
